33	2	2
0	
phi
0	0	3
0	1	1
0	2	2
1	0	1
1	1	5
1	2	9
2	0	2
2	1	7
2	2	2
3	0	4
3	1	4
3	2	4
4	0	5
4	1	5
4	2	5
5	0	6
5	1	6
5	2	6
6	0	7
6	1	7
6	2	7
7	0	8
7	1	8
7	2	8
8	0	9
8	1	9
8	2	9
9	0	10
9	1	10
9	2	10
10	0	11
10	1	11
10	2	11
11	0	14
11	1	12
11	2	13
12	0	12
12	1	16
12	2	20
13	0	13
13	1	18
13	2	0
14	0	15
14	1	15
14	2	15
15	0	16
15	1	16
15	2	16
16	0	17
16	1	17
16	2	17
17	0	18
17	1	18
17	2	18
18	0	19
18	1	19
18	2	19
19	0	20
19	1	20
19	2	20
20	0	21
20	1	21
20	2	21
21	0	22
21	1	22
21	2	22
22	0	25
22	1	23
22	2	24
23	0	23
23	1	27
23	2	22
24	0	24
24	1	29
24	2	11
25	0	26
25	1	26
25	2	26
26	0	27
26	1	27
26	2	27
27	0	28
27	1	28
27	2	28
28	0	29
28	1	29
28	2	29
29	0	30
29	1	30
29	2	30
30	0	31
30	1	31
30	2	31
31	0	22
31	1	22
31	2	22
32	0	32
32	1	32
32	2	32
psi
0	0	1
0	1	0
0	2	0
1	0	0
1	1	0
1	2	0
2	0	0
2	1	0
2	2	0
3	0	0
3	1	0
3	2	0
4	0	0
4	1	0
4	2	0
5	0	0
5	1	0
5	2	0
6	0	0
6	1	0
6	2	0
7	0	0
7	1	0
7	2	0
8	0	0
8	1	0
8	2	0
9	0	0
9	1	0
9	2	0
10	0	0
10	1	0
10	2	0
11	0	0
11	1	0
11	2	0
12	0	0
12	1	0
12	2	0
13	0	0
13	1	0
13	2	0
14	0	0
14	1	0
14	2	0
15	0	0
15	1	0
15	2	0
16	0	0
16	1	0
16	2	0
17	0	0
17	1	0
17	2	0
18	0	0
18	1	0
18	2	0
19	0	0
19	1	0
19	2	0
20	0	0
20	1	0
20	2	0
21	0	0
21	1	0
21	2	0
22	0	0
22	1	0
22	2	0
23	0	0
23	1	0
23	2	0
24	0	0
24	1	0
24	2	0
25	0	0
25	1	0
25	2	0
26	0	0
26	1	0
26	2	0
27	0	0
27	1	0
27	2	0
28	0	0
28	1	0
28	2	0
29	0	0
29	1	0
29	2	0
30	0	0
30	1	0
30	2	0
31	0	0
31	1	0
31	2	0
32	0	0
32	1	0
32	2	0
eta
0	0	11
0	1	0
0	2	0
1	0	0
1	1	11
1	2	21
2	0	0
2	1	21
2	2	0
3	0	11
3	1	11
3	2	11
4	0	11
4	1	11
4	2	11
5	0	21
5	1	21
5	2	21
6	0	21
6	1	21
6	2	21
7	0	11
7	1	11
7	2	11
8	0	21
8	1	21
8	2	21
9	0	21
9	1	21
9	2	21
10	0	11
10	1	11
10	2	11
11	0	11
11	1	0
11	2	0
12	0	0
12	1	11
12	2	21
13	0	0
13	1	21
13	2	0
14	0	11
14	1	11
14	2	11
15	0	11
15	1	11
15	2	11
16	0	21
16	1	21
16	2	21
17	0	21
17	1	21
17	2	21
18	0	11
18	1	11
18	2	11
19	0	21
19	1	21
19	2	21
20	0	21
20	1	21
20	2	21
21	0	11
21	1	11
21	2	11
22	0	11
22	1	0
22	2	0
23	0	0
23	1	11
23	2	0
24	0	0
24	1	21
24	2	0
25	0	11
25	1	11
25	2	11
26	0	11
26	1	11
26	2	11
27	0	21
27	1	21
27	2	21
28	0	21
28	1	21
28	2	21
29	0	11
29	1	11
29	2	11
30	0	21
30	1	21
30	2	21
31	0	1
31	1	1
31	2	1
32	0	0
32	1	0
32	2	0
